Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 17 21	14.3	2
2010 01 17 22	14.3	2
2010 01 17 23	14.3	2
2010 01 18 00	14.3	2
2010 01 18 01	14.3	2
2010 01 18 02	14.3	2
2010 01 18 03	14.3	2
2010 01 18 04	14.3	2
2010 01 18 05	14.3	2
2010 01 18 06	14.3	2
2010 01 18 07	14.3	2
2010 01 18 08	14.3	2
2010 01 18 09	14.3	2
2010 01 18 10	14.2	2
2010 01 18 11	14.2	2
2010 01 18 12	14.3	2
2010 01 18 13	14.3	2
2010 01 18 14	14.3	2
2010 01 18 15	14.4	2
2010 01 18 16	14.3	2
2010 01 18 17	14.3	2
2010 01 18 18	14.3	2
2010 01 18 19	14.2	2
2010 01 18 20	14.2	2
2010 01 18 21	14.2	2
2010 01 18 22	14.1	2
2010 01 18 23	14.1	2
2010 01 19 00	14.1	2
2010 01 19 01	14.1	2
2010 01 19 02	14.1	2
2010 01 19 03	14.2	2
2010 01 19 04	14.3	2
2010 01 19 05	14.3	2
2010 01 19 06	14.3	2
2010 01 19 07	14.3	2
2010 01 19 08	14.3	2
2010 01 19 09	14.3	2
2010 01 19 10	14.3	2
2010 01 19 11	14.3	2
2010 01 19 12	14.3	2
2010 01 19 13	14.3	2
2010 01 19 14	14.3	2
2010 01 19 15	14.4	2
2010 01 19 16	14.4	2
2010 01 19 17	14.4	2
2010 01 19 18	14.4	2
2010 01 19 19	14.4	2
2010 01 19 20	14.4	2
2010 01 19 21	14.4	2
2010 01 19 22	14.4	2
2010 01 19 23	14.3	2
2010 01 20 00	14.3	2
2010 01 20 01	14.3	2
2010 01 20 02	14.3	2
2010 01 20 03	14.3	2
2010 01 20 04	14.3	2
2010 01 20 05	14.3	2
2010 01 20 06	14.3	2
2010 01 20 07	14.3	2
2010 01 20 08	14.2	2
2010 01 20 09	14.2	2
2010 01 20 10	14.3	2
2010 01 20 11	14.3	2
2010 01 20 12	14.3	2
2010 01 20 13	14.3	2
2010 01 20 14	14.3	2
2010 01 20 15	14.3	2
2010 01 20 16	14.3	2
2010 01 20 17	14.3	2
2010 01 20 18	14.3	2
2010 01 20 19	14.2	2
2010 01 20 20	14.2	2
2010 01 20 21	14.3	2
2010 01 20 22	14.2	2
2010 01 20 23	14.1	2
2010 01 21 00	14.1	2
2010 01 21 01	14.2	2
2010 01 21 02	14.1	2
2010 01 21 03	14.1	2
2010 01 21 04	14.1	2
2010 01 21 05	14.1	2
2010 01 21 06	14.1	2
2010 01 21 07	14.1	2
2010 01 21 08	14.1	2
2010 01 21 09	14.1	2
2010 01 21 10	14.1	2
2010 01 21 11	14.1	2
2010 01 21 12	14.1	2
2010 01 21 13	14.1	2
2010 01 21 14	14.1	2
2010 01 21 15	14.1	2
2010 01 21 16	14.1	2
2010 01 21 17	14.1	2
2010 01 21 18	14.1	2
2010 01 21 19	14.1	2
2010 01 21 20	14.2	2
