Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 19 20	12.9	2
2010 01 19 21	12.9	2
2010 01 19 22	12.9	2
2010 01 19 23	12.9	2
2010 01 20 00	12.9	2
2010 01 20 01	12.8	2
2010 01 20 02	12.8	2
2010 01 20 03	12.9	2
2010 01 20 04	12.9	2
2010 01 20 05	12.9	2
2010 01 20 06	12.9	2
2010 01 20 07	12.9	2
2010 01 20 08	12.9	2
2010 01 20 09	12.9	2
2010 01 20 10	12.9	2
2010 01 20 11	12.8	2
2010 01 20 12	12.9	2
2010 01 20 13	12.9	2
2010 01 20 14	13.0	2
2010 01 20 15	13.0	2
2010 01 20 16	13.0	2
2010 01 20 17	12.9	2
2010 01 20 18	12.9	2
2010 01 20 19	12.8	2
2010 01 20 20	12.6	2
2010 01 20 21	12.6	2
2010 01 20 22	12.6	2
2010 01 20 23	12.6	2
2010 01 21 00	12.6	2
2010 01 21 01	12.6	2
2010 01 21 02	12.6	2
2010 01 21 03	12.6	2
2010 01 21 04	12.7	2
2010 01 21 05	12.6	2
2010 01 21 06	12.6	2
2010 01 21 07	12.6	2
2010 01 21 08	12.5	2
2010 01 21 09	12.5	2
2010 01 21 10	12.5	2
2010 01 21 11	12.7	2
2010 01 21 12	12.8	2
2010 01 21 13	12.8	2
2010 01 21 14	12.8	2
2010 01 21 15	12.8	2
2010 01 21 16	12.8	2
2010 01 21 17	12.8	2
2010 01 21 18	12.7	2
2010 01 21 19	12.7	2
2010 01 21 20	12.6	2
2010 01 21 21	12.6	2
2010 01 21 22	12.6	2
2010 01 21 23	12.5	2
2010 01 22 00	12.5	2
2010 01 22 01	12.5	2
2010 01 22 02	12.5	2
2010 01 22 03	12.5	2
2010 01 22 04	12.5	2
2010 01 22 05	12.5	2
2010 01 22 06	12.5	2
2010 01 22 07	12.5	2
2010 01 22 08	12.5	2
2010 01 22 09	12.4	2
2010 01 22 10	12.4	2
2010 01 22 11	12.4	2
2010 01 22 12	12.4	2
2010 01 22 13	12.5	2
2010 01 22 14	12.5	2
2010 01 22 15	12.5	2
2010 01 22 16	12.4	2
2010 01 22 17	12.5	2
2010 01 22 18	12.5	2
2010 01 22 19	12.5	2
2010 01 22 20	12.5	2
2010 01 22 21	12.5	2
2010 01 22 22	12.5	2
2010 01 22 23	12.5	2
2010 01 23 00	12.5	2
2010 01 23 01	12.5	2
2010 01 23 02	12.5	2
2010 01 23 03	12.5	2
2010 01 23 04	12.6	2
2010 01 23 05	12.6	2
2010 01 23 06	12.6	2
2010 01 23 07	12.5	2
2010 01 23 08	12.5	2
2010 01 23 09	12.4	2
2010 01 23 10	12.4	2
2010 01 23 11	12.4	2
2010 01 23 12	12.4	2
2010 01 23 13	12.5	2
2010 01 23 14	12.4	2
2010 01 23 15	12.4	2
2010 01 23 16	12.5	2
2010 01 23 17	12.5	2
2010 01 23 18	12.5	2
2010 01 23 19	12.5	2
2010 01 23 20	12.4	2
2010 01 23 21	12.4	2
2010 01 23 22	12.5	2
2010 01 23 23	12.5	2
2010 01 24 00	12.4	2
2010 01 24 01	12.4	2
2010 01 24 02	12.4	2
2010 01 24 03	12.4	2
2010 01 24 04	12.4	2
2010 01 24 05	12.5	2
2010 01 24 06	12.5	2
2010 01 24 07	12.4	2
2010 01 24 08	12.4	2
2010 01 24 09	12.4	2
2010 01 24 10	12.4	2
2010 01 24 11	12.4	2
2010 01 24 12	12.4	2
2010 01 24 13	12.4	2
2010 01 24 14	12.4	2
2010 01 24 15	12.4	2
2010 01 24 16	12.4	2
2010 01 24 17	12.4	2
2010 01 24 18	12.4	2
2010 01 24 19	12.3	2
2010 01 24 20	12.3	2
2010 01 24 21	12.4	2
2010 01 24 22	12.4	2
2010 01 24 23	12.5	2
2010 01 25 00	12.5	2
2010 01 25 01	12.5	2
2010 01 25 02	12.6	2
2010 01 25 03	12.6	2
2010 01 25 04	12.6	2
2010 01 25 05	12.5	2
2010 01 25 06	12.5	2
2010 01 25 07	12.5	2
2010 01 25 08	12.4	2
2010 01 25 09	12.4	2
2010 01 25 10	12.4	2
2010 01 25 11	12.3	2
2010 01 25 12	12.3	2
2010 01 25 13	12.3	2
2010 01 25 14	12.3	2
2010 01 25 15	12.5	2
2010 01 25 16	12.5	2
2010 01 25 17	12.6	2
2010 01 25 18	12.6	2
2010 01 25 19	12.6	2
2010 01 25 20	12.7	2
2010 01 25 21	12.6	2
2010 01 25 22	12.7	2
2010 01 25 23	12.7	2
2010 01 26 00	12.7	2
2010 01 26 01	12.7	2
2010 01 26 02	12.7	2
2010 01 26 03	12.7	2
2010 01 26 04	12.7	2
2010 01 26 05	12.7	2
2010 01 26 06	12.7	2
2010 01 26 07	12.7	2
2010 01 26 08	12.7	2
2010 01 26 09	12.7	2
2010 01 26 10	12.7	2
2010 01 26 11	12.7	2
2010 01 26 12	12.7	2
2010 01 26 13	12.7	2
2010 01 26 14	12.7	2
2010 01 26 15	12.7	2
2010 01 26 16	12.7	2
2010 01 26 17	12.7	2
2010 01 26 18	12.7	2
2010 01 26 19	12.7	2
2010 01 26 20	12.7	2
2010 01 26 21	12.7	2
2010 01 26 22	12.7	2
2010 01 26 23	12.7	2
2010 01 27 00	12.7	2
2010 01 27 01	12.7	2
2010 01 27 02	12.6	2
2010 01 27 03	12.6	2
2010 01 27 04	12.6	2
2010 01 27 05	12.6	2
2010 01 27 06	12.6	2
2010 01 27 07	12.6	2
2010 01 27 08	12.6	2
2010 01 27 09	12.5	2
2010 01 27 10	12.5	2
2010 01 27 11	12.5	2
2010 01 27 12	12.5	2
2010 01 27 13	12.5	2
2010 01 27 14	12.5	2
2010 01 27 15	12.5	2
2010 01 27 16	12.4	2
2010 01 27 17	12.4	2
2010 01 27 18	12.4	2
2010 01 27 19	12.4	2
2010 01 27 20	12.4	2
2010 01 27 21	12.3	2
2010 01 27 22	12.5	2
2010 01 27 23	12.5	2
2010 01 28 00	12.5	2
2010 01 28 01	12.5	2
2010 01 28 02	12.5	2
2010 01 28 03	12.5	2
2010 01 28 04	12.5	2
2010 01 28 05	12.5	2
2010 01 28 06	12.4	2
2010 01 28 07	12.3	2
2010 01 28 08	12.4	2
2010 01 28 09	12.4	2
2010 01 28 10	12.4	2
2010 01 28 11	12.5	2
2010 01 28 12	12.5	2
2010 01 28 13	12.5	2
2010 01 28 14	12.5	2
2010 01 28 15	12.5	2
2010 01 28 16	12.5	2
2010 01 28 17	12.5	2
2010 01 28 18	12.5	2
2010 01 28 19	12.5	2
2010 01 28 20	12.5	2
2010 01 28 21	12.5	2
2010 01 28 22	12.5	2
2010 01 28 23	12.4	2
2010 01 29 00	12.4	2
2010 01 29 01	12.4	2
2010 01 29 02	12.3	2
2010 01 29 03	12.3	2
2010 01 29 04	12.3	2
2010 01 29 05	12.3	2
2010 01 29 06	12.4	2
2010 01 29 07	12.4	2
2010 01 29 08	12.3	2
2010 01 29 09	12.3	2
2010 01 29 10	12.3	2
2010 01 29 11	12.3	2
2010 01 29 12	12.3	2
2010 01 29 13	12.3	2
2010 01 29 14	12.3	2
2010 01 29 15	12.3	2
2010 01 29 16	12.3	2
2010 01 29 17	12.3	2
2010 01 29 18	12.3	2
2010 01 29 19	12.3	2
2010 01 29 20	12.3	2
2010 01 29 21	12.3	2
2010 01 29 22	12.3	2
2010 01 29 23	12.3	2
2010 01 30 00	12.3	2
2010 01 30 01	12.3	2
2010 01 30 02	12.3	2
2010 01 30 03	12.3	2
2010 01 30 04	12.3	2
2010 01 30 05	12.3	2
2010 01 30 06	12.3	2
2010 01 30 07	12.3	2
2010 01 30 08	12.3	2
2010 01 30 09	12.3	2
2010 01 30 10	12.3	2
2010 01 30 11	12.3	2
2010 01 30 12	12.3	2
2010 01 30 13	12.3	2
2010 01 30 14	12.3	2
2010 01 30 15	12.3	2
2010 01 30 16	12.3	2
2010 01 30 17	12.3	2
2010 01 30 18	12.3	2
2010 01 30 19	12.3	2
2010 01 30 20	12.3	2
2010 01 30 21	12.3	2
2010 01 30 22	12.3	2
2010 01 30 23	12.3	2
2010 01 31 00	12.3	2
2010 01 31 01	12.3	2
2010 01 31 02	12.2	2
2010 01 31 03	12.2	2
2010 01 31 04	12.2	2
2010 01 31 05	12.2	2
2010 01 31 06	12.2	2
2010 01 31 07	12.2	2
2010 01 31 08	12.2	2
2010 01 31 09	12.2	2
2010 01 31 10	12.2	2
2010 01 31 11	12.2	2
2010 01 31 12	12.2	2
2010 01 31 13	12.2	2
2010 01 31 14	12.2	2
2010 01 31 15	12.2	2
2010 01 31 16	12.2	2
2010 01 31 17	12.2	2
2010 01 31 18	12.2	2
2010 01 31 19	12.2	2
2010 01 31 20	12.2	2
2010 01 31 21	12.2	2
2010 01 31 22	12.2	2
2010 01 31 23	12.2	2
2010 02 01 00	12.2	2
2010 02 01 01	12.2	2
2010 02 01 02	12.2	2
2010 02 01 03	12.2	2
2010 02 01 04	12.2	2
2010 02 01 05	12.2	2
2010 02 01 06	12.2	2
2010 02 01 07	12.2	2
2010 02 01 08	12.2	2
2010 02 01 09	12.2	2
2010 02 01 10	12.2	2
2010 02 01 11	12.2	2
2010 02 01 12	12.2	2
2010 02 01 13	12.2	2
2010 02 01 14	12.3	2
2010 02 01 15	12.3	2
2010 02 01 16	12.3	2
2010 02 01 17	12.2	2
2010 02 01 18	12.2	2
2010 02 01 19	12.2	2
2010 02 01 20	12.2	2
2010 02 01 21	12.2	2
2010 02 01 22	12.2	2
2010 02 01 23	12.2	2
2010 02 02 00	12.2	2
2010 02 02 01	12.2	2
2010 02 02 02	12.2	2
2010 02 02 03	12.2	2
2010 02 02 04	12.2	2
2010 02 02 05	12.2	2
2010 02 02 06	12.2	2
2010 02 02 07	12.2	2
2010 02 02 08	12.2	2
2010 02 02 09	12.2	2
2010 02 02 10	12.2	2
2010 02 02 11	12.2	2
2010 02 02 12	12.3	2
2010 02 02 13	12.3	2
2010 02 02 14	12.3	2
2010 02 02 15	12.3	2
2010 02 02 16	12.3	2
2010 02 02 17	12.3	2
2010 02 02 18	12.3	2
2010 02 02 19	12.3	2
2010 02 02 20	12.2	2
2010 02 02 21	12.2	2
2010 02 02 22	12.3	2
2010 02 02 23	12.3	2
2010 02 03 00	12.3	2
2010 02 03 01	12.3	2
2010 02 03 02	12.3	2
2010 02 03 03	12.3	2
2010 02 03 04	12.3	2
2010 02 03 05	12.3	2
2010 02 03 06	12.2	2
2010 02 03 07	12.2	2
2010 02 03 08	12.3	2
2010 02 03 09	12.3	2
2010 02 03 10	12.3	2
2010 02 03 11	12.3	2
2010 02 03 12	12.4	2
2010 02 03 13	12.4	2
2010 02 03 14	12.5	2
2010 02 03 15	12.5	2
2010 02 03 16	12.5	2
2010 02 03 17	12.5	2
2010 02 03 18	12.4	2
2010 02 03 19	12.4	2
2010 02 03 20	12.4	2
2010 02 03 21	12.3	2
2010 02 03 22	12.3	2
2010 02 03 23	12.3	2
2010 02 04 00	12.3	2
2010 02 04 01	12.3	2
2010 02 04 02	12.3	2
2010 02 04 03	12.3	2
2010 02 04 04	12.3	2
2010 02 04 05	12.3	2
2010 02 04 06	12.3	2
2010 02 04 07	12.3	2
2010 02 04 08	12.3	2
2010 02 04 09	12.3	2
2010 02 04 10	12.3	2
2010 02 04 11	12.3	2
2010 02 04 12	12.3	2
2010 02 04 13	12.3	2
2010 02 04 14	12.3	2
2010 02 04 15	12.3	2
2010 02 04 16	12.3	2
2010 02 04 17	12.3	2
2010 02 04 18	12.3	2
2010 02 04 19	12.3	2
2010 02 04 20	12.3	2
2010 02 04 21	12.3	2
2010 02 04 22	12.3	2
2010 02 04 23	12.3	2
2010 02 05 00	12.3	2
2010 02 05 01	12.3	2
2010 02 05 02	12.3	2
2010 02 05 03	12.3	2
2010 02 05 04	12.2	2
2010 02 05 05	12.2	2
2010 02 05 06	12.2	2
2010 02 05 07	12.2	2
2010 02 05 08	12.2	2
2010 02 05 09	12.2	2
2010 02 05 10	12.3	2
2010 02 05 11	12.3	2
2010 02 05 12	12.3	2
2010 02 05 13	12.3	2
2010 02 05 14	12.3	2
2010 02 05 15	12.3	2
2010 02 05 16	12.3	2
2010 02 05 17	12.3	2
2010 02 05 18	12.3	2
2010 02 05 19	12.3	2
2010 02 05 20	12.3	2
2010 02 05 21	12.3	2
2010 02 05 22	12.3	2
2010 02 05 23	12.3	2
2010 02 06 00	12.3	2
2010 02 06 01	12.5	2
2010 02 06 02	12.5	2
2010 02 06 03	12.5	2
2010 02 06 04	12.5	2
2010 02 06 05	12.5	2
2010 02 06 06	12.5	2
2010 02 06 07	12.4	2
2010 02 06 08	12.4	2
2010 02 06 09	12.4	2
2010 02 06 10	12.5	2
2010 02 06 11	12.5	2
2010 02 06 12	12.5	2
2010 02 06 13	12.6	2
2010 02 06 14	12.5	2
2010 02 06 15	12.5	2
2010 02 06 16	12.5	2
2010 02 06 17	12.5	2
2010 02 06 18	12.4	2
2010 02 06 19	12.4	2
2010 02 06 20	12.4	2
2010 02 06 21	12.4	2
2010 02 06 22	12.4	2
2010 02 06 23	12.5	2
2010 02 07 00	12.5	2
2010 02 07 01	12.5	2
2010 02 07 02	12.5	2
2010 02 07 03	12.5	2
2010 02 07 04	12.5	2
2010 02 07 05	12.5	2
2010 02 07 06	12.5	2
2010 02 07 07	12.5	2
2010 02 07 08	12.5	2
2010 02 07 09	12.5	2
2010 02 07 10	12.6	2
2010 02 07 11	12.6	2
2010 02 07 12	12.6	2
2010 02 07 13	12.6	2
2010 02 07 14	12.6	2
2010 02 07 15	12.6	2
2010 02 07 16	12.6	2
2010 02 07 17	12.6	2
2010 02 07 18	12.5	2
2010 02 07 19	12.6	2
2010 02 07 20	12.5	2
2010 02 07 21	12.5	2
2010 02 07 22	12.5	2
2010 02 07 23	12.6	2
2010 02 08 00	12.5	2
2010 02 08 01	12.5	2
2010 02 08 02	12.5	2
2010 02 08 03	12.6	2
2010 02 08 04	12.5	2
2010 02 08 05	12.5	2
2010 02 08 06	12.6	2
2010 02 08 07	12.6	2
2010 02 08 08	12.5	2
2010 02 08 09	12.5	2
2010 02 08 10	12.5	2
2010 02 08 11	12.5	2
2010 02 08 12	12.6	2
2010 02 08 13	12.6	2
2010 02 08 14	12.6	2
2010 02 08 15	12.5	2
2010 02 08 16	12.5	2
2010 02 08 17	12.5	2
2010 02 08 18	12.5	2
2010 02 08 19	12.5	2
2010 02 08 20	12.5	2
2010 02 08 21	12.5	2
2010 02 08 22	12.6	2
2010 02 08 23	12.5	2
2010 02 09 00	12.5	2
2010 02 09 01	12.5	2
2010 02 09 02	12.5	2
2010 02 09 03	12.5	2
2010 02 09 04	12.5	2
2010 02 09 05	12.5	2
2010 02 09 06	12.5	2
2010 02 09 07	12.5	2
2010 02 09 08	12.5	2
2010 02 09 09	12.5	2
2010 02 09 10	12.5	2
2010 02 09 11	12.5	2
2010 02 09 12	12.5	2
2010 02 09 13	12.5	2
2010 02 09 14	12.5	2
2010 02 09 15	12.5	2
2010 02 09 16	12.5	2
2010 02 09 17	12.5	2
2010 02 09 18	12.5	2
2010 02 09 19	12.5	2
2010 02 09 20	12.5	2
2010 02 09 21	12.5	2
2010 02 09 22	12.5	2
2010 02 09 23	12.5	2
2010 02 10 00	12.5	2
2010 02 10 01	12.5	2
2010 02 10 02	12.6	2
2010 02 10 03	12.6	2
2010 02 10 04	12.5	2
2010 02 10 05	12.5	2
2010 02 10 06	12.5	2
2010 02 10 07	12.5	2
2010 02 10 08	12.5	2
2010 02 10 09	12.5	2
2010 02 10 10	12.5	2
2010 02 10 11	12.5	2
2010 02 10 12	12.5	2
2010 02 10 13	12.5	2
2010 02 10 14	12.5	2
2010 02 10 15	12.5	2
2010 02 10 16	12.5	2
2010 02 10 17	12.5	2
2010 02 10 18	12.5	2
2010 02 10 19	12.5	2
2010 02 10 20	12.5	2
2010 02 10 21	12.5	2
2010 02 10 22	12.5	2
2010 02 10 23	12.5	2
2010 02 11 00	12.4	2
2010 02 11 01	12.5	2
2010 02 11 02	12.5	2
2010 02 11 03	12.5	2
2010 02 11 04	12.5	2
2010 02 11 05	12.5	2
2010 02 11 06	12.5	2
2010 02 11 07	12.5	2
2010 02 11 08	12.5	2
2010 02 11 09	12.5	2
2010 02 11 10	12.5	2
2010 02 11 11	12.5	2
2010 02 11 12	12.5	2
2010 02 11 13	12.5	2
2010 02 11 14	12.5	2
2010 02 11 15	12.5	2
2010 02 11 16	12.5	2
2010 02 11 17	12.5	2
2010 02 11 18	12.5	2
2010 02 11 19	12.5	2
2010 02 11 20	12.5	2
2010 02 11 21	12.5	2
2010 02 11 22	12.5	2
2010 02 11 23	12.5	2
2010 02 12 00	12.5	2
2010 02 12 01	12.5	2
2010 02 12 02	12.5	2
2010 02 12 03	12.5	2
2010 02 12 04	12.5	2
2010 02 12 05	12.5	2
2010 02 12 06	12.5	2
2010 02 12 07	12.5	2
2010 02 12 08	12.5	2
2010 02 12 09	12.5	2
2010 02 12 10	12.5	2
2010 02 12 11	12.5	2
2010 02 12 12	12.5	2
2010 02 12 13	12.5	2
2010 02 12 14	12.2	2
2010 02 12 15	12.1	2
2010 02 12 16	12.2	2
2010 02 12 17	12.3	2
2010 02 12 18	12.3	2
2010 02 12 19	12.3	2
2010 02 12 20	12.3	2
2010 02 12 21	12.3	2
2010 02 12 22	12.5	2
2010 02 12 23	12.4	2
2010 02 13 00	12.4	2
2010 02 13 01	12.5	2
2010 02 13 02	12.4	2
2010 02 13 03	12.4	2
2010 02 13 04	12.5	2
2010 02 13 05	12.5	2
2010 02 13 06	12.5	2
2010 02 13 07	12.4	2
2010 02 13 08	12.4	2
2010 02 13 09	12.4	2
2010 02 13 10	12.4	2
2010 02 13 11	12.4	2
2010 02 13 12	12.4	2
2010 02 13 13	12.3	2
2010 02 13 14	12.4	2
2010 02 13 15	12.4	2
2010 02 13 16	12.4	2
2010 02 13 17	12.4	2
2010 02 13 18	12.4	2
2010 02 13 19	12.4	2
2010 02 13 20	12.3	2
2010 02 13 21	12.4	2
2010 02 13 22	12.3	2
2010 02 13 23	12.3	2
2010 02 14 00	12.3	2
2010 02 14 01	12.3	2
2010 02 14 02	12.3	2
2010 02 14 03	12.3	2
2010 02 14 04	12.3	2
2010 02 14 05	12.3	2
2010 02 14 06	12.3	2
2010 02 14 07	12.4	2
2010 02 14 08	12.4	2
2010 02 14 09	12.4	2
2010 02 14 10	12.4	2
2010 02 14 11	12.4	2
2010 02 14 12	12.4	2
2010 02 14 13	12.4	2
2010 02 14 14	12.4	2
2010 02 14 15	12.4	2
2010 02 14 16	12.4	2
2010 02 14 17	12.4	2
2010 02 14 18	12.3	2
2010 02 14 19	12.3	2
2010 02 14 20	12.3	2
2010 02 14 21	12.3	2
2010 02 14 22	12.3	2
2010 02 14 23	12.3	2
2010 02 15 00	12.3	2
2010 02 15 01	12.3	2
2010 02 15 02	12.3	2
2010 02 15 03	12.3	2
2010 02 15 04	12.3	2
2010 02 15 05	12.3	2
2010 02 15 06	12.3	2
2010 02 15 07	12.3	2
2010 02 15 08	12.3	2
